,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.621 [0.594 - 0.650],0.589 [0.585 - 0.593],0.589 [0.537 - 0.640],0.589 [0.585 - 0.593],0.010 [0.009 - 0.011],0.178 [0.126 - 0.229],0.020 [0.017 - 0.022]
Demographic,0.614 [0.588 - 0.638],0.589 [0.585 - 0.592],0.588 [0.538 - 0.637],0.588 [0.585 - 0.593],0.010 [0.009 - 0.011],0.177 [0.126 - 0.226],0.020 [0.017 - 0.022]
Protein+Demographic,0.664 [0.638 - 0.690],0.613 [0.609 - 0.617],0.610 [0.563 - 0.661],0.613 [0.609 - 0.617],0.011 [0.010 - 0.012],0.223 [0.176 - 0.274],0.022 [0.019 - 0.024]
