,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.835 [0.814 - 0.853],0.752 [0.748 - 0.756],0.753 [0.712 - 0.789],0.752 [0.748 - 0.756],0.032 [0.029 - 0.036],0.505 [0.464 - 0.542],0.062 [0.056 - 0.068]
Demographic,0.830 [0.811 - 0.848],0.764 [0.760 - 0.768],0.765 [0.725 - 0.802],0.764 [0.760 - 0.768],0.034 [0.031 - 0.038],0.529 [0.487 - 0.567],0.066 [0.059 - 0.072]
Protein+Demographic,0.866 [0.849 - 0.881],0.788 [0.784 - 0.792],0.789 [0.748 - 0.823],0.788 [0.784 - 0.792],0.039 [0.035 - 0.043],0.577 [0.536 - 0.612],0.074 [0.067 - 0.082]
