,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.656 [0.649 - 0.663],0.610 [0.606 - 0.615],0.611 [0.599 - 0.622],0.610 [0.605 - 0.615],0.214 [0.208 - 0.220],0.221 [0.209 - 0.233],0.317 [0.309 - 0.324]
Demographic,0.647 [0.640 - 0.654],0.607 [0.603 - 0.611],0.608 [0.595 - 0.619],0.607 [0.603 - 0.612],0.212 [0.206 - 0.217],0.215 [0.201 - 0.227],0.314 [0.307 - 0.321]
Protein+Demographic,0.668 [0.661 - 0.674],0.622 [0.617 - 0.625],0.622 [0.610 - 0.633],0.621 [0.617 - 0.626],0.222 [0.216 - 0.228],0.243 [0.231 - 0.255],0.327 [0.320 - 0.334]
