,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.714 [0.706 - 0.721],0.653 [0.649 - 0.658],0.654 [0.637 - 0.668],0.653 [0.649 - 0.658],0.133 [0.128 - 0.138],0.307 [0.290 - 0.322],0.221 [0.214 - 0.229]
Demographic,0.753 [0.746 - 0.760],0.685 [0.681 - 0.689],0.685 [0.670 - 0.701],0.685 [0.681 - 0.690],0.151 [0.146 - 0.156],0.370 [0.356 - 0.386],0.247 [0.240 - 0.255]
Protein+Demographic,0.769 [0.762 - 0.776],0.699 [0.695 - 0.703],0.698 [0.683 - 0.713],0.699 [0.695 - 0.703],0.159 [0.153 - 0.165],0.397 [0.381 - 0.412],0.259 [0.251 - 0.267]
