,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.620 [0.605 - 0.635],0.585 [0.580 - 0.590],0.585 [0.559 - 0.613],0.585 [0.580 - 0.590],0.045 [0.041 - 0.048],0.170 [0.142 - 0.197],0.083 [0.077 - 0.089]
Demographic,0.604 [0.588 - 0.620],0.570 [0.565 - 0.575],0.571 [0.542 - 0.598],0.570 [0.565 - 0.575],0.042 [0.039 - 0.045],0.141 [0.113 - 0.169],0.079 [0.073 - 0.084]
Protein+Demographic,0.634 [0.618 - 0.650],0.595 [0.591 - 0.600],0.595 [0.570 - 0.623],0.595 [0.590 - 0.600],0.047 [0.043 - 0.050],0.190 [0.164 - 0.218],0.086 [0.080 - 0.092]
