,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.619 [0.587 - 0.651],0.585 [0.578 - 0.592],0.589 [0.538 - 0.648],0.585 [0.578 - 0.592],0.021 [0.018 - 0.024],0.175 [0.121 - 0.234],0.040 [0.034 - 0.046]
Demographic,0.552 [0.518 - 0.586],0.545 [0.537 - 0.552],0.546 [0.491 - 0.601],0.545 [0.538 - 0.552],0.017 [0.015 - 0.020],0.090 [0.036 - 0.147],0.034 [0.029 - 0.039]
Protein+Demographic,0.610 [0.580 - 0.642],0.585 [0.579 - 0.592],0.584 [0.528 - 0.643],0.585 [0.579 - 0.592],0.020 [0.018 - 0.023],0.170 [0.113 - 0.229],0.039 [0.034 - 0.045]
