,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.743 [0.696 - 0.788],0.699 [0.695 - 0.703],0.693 [0.620 - 0.770],0.699 [0.695 - 0.703],0.007 [0.006 - 0.008],0.391 [0.319 - 0.468],0.014 [0.011 - 0.017]
Demographic,0.729 [0.683 - 0.773],0.686 [0.682 - 0.690],0.687 [0.604 - 0.762],0.686 [0.682 - 0.690],0.007 [0.005 - 0.008],0.372 [0.292 - 0.448],0.013 [0.011 - 0.016]
Protein+Demographic,0.755 [0.707 - 0.799],0.718 [0.713 - 0.722],0.719 [0.647 - 0.791],0.718 [0.713 - 0.722],0.008 [0.006 - 0.009],0.437 [0.364 - 0.510],0.015 [0.013 - 0.018]
