,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.849 [0.841 - 0.857],0.768 [0.764 - 0.771],0.767 [0.750 - 0.784],0.768 [0.764 - 0.771],0.139 [0.132 - 0.145],0.535 [0.517 - 0.552],0.235 [0.225 - 0.244]
Demographic,0.808 [0.800 - 0.817],0.733 [0.729 - 0.737],0.733 [0.714 - 0.751],0.733 [0.729 - 0.737],0.118 [0.113 - 0.123],0.467 [0.448 - 0.485],0.203 [0.195 - 0.212]
Protein+Demographic,0.858 [0.850 - 0.865],0.776 [0.773 - 0.780],0.776 [0.759 - 0.793],0.776 [0.773 - 0.780],0.145 [0.138 - 0.151],0.553 [0.535 - 0.570],0.244 [0.234 - 0.253]
