,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.797 [0.789 - 0.804],0.723 [0.718 - 0.728],0.724 [0.709 - 0.737],0.723 [0.718 - 0.728],0.244 [0.237 - 0.252],0.447 [0.432 - 0.460],0.365 [0.356 - 0.374]
Demographic,0.755 [0.747 - 0.763],0.690 [0.685 - 0.694],0.690 [0.675 - 0.704],0.690 [0.685 - 0.695],0.216 [0.209 - 0.223],0.380 [0.364 - 0.395],0.329 [0.320 - 0.338]
Protein+Demographic,0.803 [0.795 - 0.810],0.729 [0.724 - 0.734],0.729 [0.715 - 0.743],0.729 [0.724 - 0.734],0.250 [0.242 - 0.257],0.458 [0.444 - 0.472],0.372 [0.363 - 0.381]
