,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.628 [0.601 - 0.653],0.586 [0.582 - 0.591],0.589 [0.543 - 0.635],0.586 [0.582 - 0.591],0.013 [0.011 - 0.014],0.176 [0.130 - 0.221],0.025 [0.022 - 0.028]
Demographic,0.671 [0.651 - 0.694],0.625 [0.621 - 0.629],0.626 [0.583 - 0.667],0.625 [0.621 - 0.630],0.015 [0.013 - 0.016],0.251 [0.207 - 0.294],0.029 [0.026 - 0.032]
Protein+Demographic,0.685 [0.663 - 0.708],0.635 [0.631 - 0.639],0.636 [0.595 - 0.680],0.635 [0.631 - 0.639],0.015 [0.014 - 0.017],0.271 [0.230 - 0.315],0.030 [0.027 - 0.034]
