,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.750 [0.744 - 0.756],0.681 [0.676 - 0.685],0.681 [0.670 - 0.691],0.681 [0.676 - 0.685],0.278 [0.272 - 0.284],0.362 [0.350 - 0.373],0.395 [0.387 - 0.402]
Demographic,0.713 [0.707 - 0.719],0.656 [0.652 - 0.660],0.656 [0.645 - 0.666],0.656 [0.652 - 0.660],0.256 [0.250 - 0.262],0.312 [0.300 - 0.324],0.368 [0.361 - 0.375]
Protein+Demographic,0.759 [0.754 - 0.765],0.688 [0.684 - 0.692],0.688 [0.678 - 0.698],0.688 [0.684 - 0.693],0.285 [0.279 - 0.291],0.377 [0.365 - 0.387],0.403 [0.396 - 0.410]
