,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.659 [0.639 - 0.680],0.618 [0.614 - 0.621],0.616 [0.577 - 0.654],0.618 [0.614 - 0.621],0.020 [0.018 - 0.022],0.234 [0.196 - 0.271],0.039 [0.036 - 0.043]
Demographic,0.624 [0.603 - 0.644],0.599 [0.595 - 0.603],0.599 [0.561 - 0.636],0.599 [0.595 - 0.603],0.019 [0.017 - 0.021],0.198 [0.160 - 0.235],0.037 [0.033 - 0.040]
Protein+Demographic,0.657 [0.637 - 0.677],0.618 [0.613 - 0.622],0.618 [0.578 - 0.654],0.618 [0.614 - 0.622],0.020 [0.019 - 0.022],0.236 [0.196 - 0.272],0.039 [0.036 - 0.043]
