,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.616 [0.606 - 0.627],0.584 [0.580 - 0.588],0.584 [0.566 - 0.603],0.584 [0.580 - 0.588],0.078 [0.074 - 0.081],0.168 [0.149 - 0.187],0.137 [0.131 - 0.143]
Demographic,0.620 [0.610 - 0.630],0.585 [0.581 - 0.590],0.585 [0.566 - 0.602],0.585 [0.581 - 0.590],0.078 [0.075 - 0.082],0.170 [0.152 - 0.188],0.138 [0.132 - 0.143]
Protein+Demographic,0.639 [0.628 - 0.649],0.598 [0.595 - 0.603],0.598 [0.581 - 0.616],0.598 [0.594 - 0.603],0.082 [0.079 - 0.086],0.196 [0.178 - 0.216],0.144 [0.139 - 0.150]
