,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.805 [0.788 - 0.821],0.728 [0.724 - 0.731],0.727 [0.693 - 0.758],0.728 [0.724 - 0.732],0.037 [0.033 - 0.039],0.455 [0.421 - 0.485],0.070 [0.064 - 0.075]
Demographic,0.748 [0.731 - 0.765],0.675 [0.671 - 0.678],0.675 [0.641 - 0.707],0.675 [0.671 - 0.678],0.029 [0.026 - 0.031],0.350 [0.316 - 0.382],0.055 [0.050 - 0.059]
Protein+Demographic,0.817 [0.800 - 0.832],0.742 [0.739 - 0.746],0.742 [0.709 - 0.775],0.742 [0.739 - 0.746],0.039 [0.036 - 0.042],0.484 [0.451 - 0.517],0.075 [0.068 - 0.080]
