,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.744 [0.735 - 0.753],0.677 [0.673 - 0.681],0.676 [0.660 - 0.693],0.677 [0.673 - 0.681],0.118 [0.113 - 0.122],0.353 [0.336 - 0.370],0.201 [0.194 - 0.207]
Demographic,0.668 [0.658 - 0.677],0.625 [0.621 - 0.629],0.624 [0.608 - 0.641],0.625 [0.620 - 0.629],0.096 [0.092 - 0.100],0.249 [0.232 - 0.266],0.166 [0.160 - 0.173]
Protein+Demographic,0.746 [0.738 - 0.755],0.679 [0.675 - 0.683],0.679 [0.663 - 0.695],0.679 [0.675 - 0.683],0.119 [0.115 - 0.124],0.358 [0.341 - 0.375],0.203 [0.195 - 0.210]
