,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.719 [0.664 - 0.767],0.655 [0.651 - 0.659],0.663 [0.564 - 0.748],0.655 [0.651 - 0.659],0.004 [0.003 - 0.005],0.317 [0.222 - 0.405],0.008 [0.006 - 0.010]
Demographic,0.735 [0.684 - 0.781],0.693 [0.689 - 0.697],0.687 [0.598 - 0.772],0.693 [0.689 - 0.697],0.005 [0.004 - 0.006],0.380 [0.291 - 0.465],0.009 [0.007 - 0.012]
Protein+Demographic,0.726 [0.675 - 0.770],0.675 [0.671 - 0.679],0.673 [0.580 - 0.759],0.675 [0.671 - 0.679],0.004 [0.003 - 0.005],0.349 [0.255 - 0.434],0.009 [0.007 - 0.011]
