,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.611 [0.562 - 0.657],0.587 [0.583 - 0.591],0.583 [0.509 - 0.665],0.587 [0.583 - 0.591],0.004 [0.003 - 0.005],0.170 [0.096 - 0.251],0.008 [0.007 - 0.010]
Demographic,0.501 [0.457 - 0.546],0.504 [0.500 - 0.508],0.507 [0.426 - 0.587],0.504 [0.500 - 0.508],0.003 [0.002 - 0.004],0.011 [-0.072 - 0.092],0.006 [0.005 - 0.007]
Protein+Demographic,0.601 [0.554 - 0.648],0.571 [0.567 - 0.575],0.571 [0.496 - 0.651],0.571 [0.567 - 0.575],0.004 [0.003 - 0.005],0.142 [0.066 - 0.222],0.008 [0.006 - 0.009]
