,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.663 [0.614 - 0.706],0.630 [0.626 - 0.634],0.635 [0.555 - 0.711],0.630 [0.626 - 0.634],0.004 [0.003 - 0.005],0.266 [0.185 - 0.342],0.009 [0.007 - 0.011]
Demographic,0.613 [0.571 - 0.653],0.581 [0.577 - 0.585],0.583 [0.500 - 0.664],0.581 [0.577 - 0.585],0.004 [0.003 - 0.004],0.163 [0.081 - 0.245],0.007 [0.006 - 0.009]
Protein+Demographic,0.673 [0.626 - 0.717],0.623 [0.619 - 0.627],0.627 [0.544 - 0.708],0.623 [0.619 - 0.627],0.004 [0.003 - 0.005],0.250 [0.168 - 0.331],0.008 [0.007 - 0.010]
