,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.768 [0.748 - 0.788],0.701 [0.697 - 0.705],0.700 [0.654 - 0.740],0.701 [0.697 - 0.705],0.018 [0.016 - 0.020],0.401 [0.356 - 0.441],0.036 [0.032 - 0.040]
Demographic,0.737 [0.715 - 0.758],0.685 [0.681 - 0.689],0.686 [0.639 - 0.726],0.685 [0.681 - 0.689],0.017 [0.015 - 0.019],0.371 [0.324 - 0.413],0.033 [0.030 - 0.037]
Protein+Demographic,0.780 [0.761 - 0.800],0.710 [0.706 - 0.714],0.709 [0.665 - 0.751],0.710 [0.706 - 0.714],0.019 [0.017 - 0.021],0.419 [0.375 - 0.460],0.037 [0.033 - 0.041]
