,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.627 [0.608 - 0.647],0.602 [0.597 - 0.606],0.601 [0.570 - 0.633],0.602 [0.597 - 0.606],0.024 [0.022 - 0.026],0.202 [0.171 - 0.236],0.047 [0.043 - 0.051]
Demographic,0.650 [0.632 - 0.667],0.593 [0.589 - 0.597],0.593 [0.558 - 0.625],0.593 [0.589 - 0.597],0.023 [0.022 - 0.025],0.186 [0.151 - 0.219],0.045 [0.042 - 0.049]
Protein+Demographic,0.660 [0.643 - 0.676],0.616 [0.612 - 0.620],0.614 [0.582 - 0.647],0.616 [0.612 - 0.620],0.026 [0.024 - 0.028],0.230 [0.197 - 0.262],0.049 [0.045 - 0.053]
