,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.608 [0.558 - 0.661],0.588 [0.583 - 0.592],0.586 [0.512 - 0.662],0.588 [0.583 - 0.592],0.005 [0.004 - 0.005],0.174 [0.100 - 0.250],0.009 [0.007 - 0.011]
Demographic,0.626 [0.580 - 0.671],0.590 [0.586 - 0.594],0.590 [0.510 - 0.665],0.590 [0.586 - 0.594],0.005 [0.004 - 0.006],0.180 [0.099 - 0.257],0.009 [0.007 - 0.011]
Protein+Demographic,0.613 [0.564 - 0.663],0.579 [0.575 - 0.584],0.574 [0.494 - 0.651],0.579 [0.575 - 0.584],0.004 [0.003 - 0.005],0.154 [0.076 - 0.231],0.009 [0.007 - 0.010]
