,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.661 [0.623 - 0.697],0.630 [0.626 - 0.635],0.631 [0.567 - 0.692],0.630 [0.626 - 0.635],0.011 [0.010 - 0.013],0.261 [0.197 - 0.324],0.022 [0.019 - 0.026]
Demographic,0.520 [0.482 - 0.555],0.538 [0.533 - 0.543],0.537 [0.476 - 0.601],0.538 [0.533 - 0.543],0.008 [0.006 - 0.009],0.075 [0.014 - 0.138],0.015 [0.013 - 0.018]
Protein+Demographic,0.664 [0.627 - 0.698],0.629 [0.624 - 0.634],0.628 [0.565 - 0.689],0.629 [0.624 - 0.633],0.011 [0.009 - 0.013],0.257 [0.191 - 0.318],0.022 [0.019 - 0.025]
