,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.705 [0.689 - 0.722],0.655 [0.651 - 0.659],0.655 [0.625 - 0.687],0.655 [0.650 - 0.659],0.037 [0.034 - 0.039],0.310 [0.280 - 0.341],0.069 [0.064 - 0.074]
Demographic,0.680 [0.662 - 0.698],0.634 [0.630 - 0.638],0.634 [0.601 - 0.666],0.634 [0.629 - 0.638],0.034 [0.031 - 0.036],0.268 [0.235 - 0.300],0.064 [0.059 - 0.069]
Protein+Demographic,0.709 [0.693 - 0.726],0.656 [0.652 - 0.660],0.656 [0.627 - 0.687],0.656 [0.652 - 0.660],0.037 [0.034 - 0.040],0.312 [0.283 - 0.343],0.070 [0.065 - 0.075]
