,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.531 [0.492 - 0.568],0.530 [0.526 - 0.534],0.534 [0.463 - 0.605],0.530 [0.526 - 0.534],0.004 [0.003 - 0.005],0.064 [-0.007 - 0.137],0.008 [0.007 - 0.010]
Demographic,0.532 [0.493 - 0.571],0.518 [0.514 - 0.522],0.516 [0.448 - 0.587],0.518 [0.514 - 0.522],0.004 [0.003 - 0.005],0.033 [-0.035 - 0.104],0.008 [0.007 - 0.009]
Protein+Demographic,0.536 [0.496 - 0.572],0.531 [0.526 - 0.535],0.529 [0.459 - 0.601],0.531 [0.526 - 0.535],0.004 [0.003 - 0.005],0.060 [-0.011 - 0.131],0.008 [0.007 - 0.010]
