,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.626 [0.593 - 0.660],0.604 [0.600 - 0.608],0.604 [0.547 - 0.656],0.604 [0.600 - 0.608],0.008 [0.007 - 0.010],0.207 [0.149 - 0.258],0.017 [0.014 - 0.019]
Demographic,0.531 [0.498 - 0.562],0.512 [0.508 - 0.516],0.513 [0.455 - 0.569],0.512 [0.508 - 0.516],0.006 [0.005 - 0.007],0.024 [-0.033 - 0.082],0.012 [0.010 - 0.013]
Protein+Demographic,0.623 [0.589 - 0.660],0.585 [0.581 - 0.589],0.587 [0.533 - 0.643],0.585 [0.581 - 0.590],0.008 [0.007 - 0.009],0.172 [0.118 - 0.228],0.016 [0.013 - 0.018]
