,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.882 [0.866 - 0.897],0.796 [0.792 - 0.800],0.798 [0.763 - 0.830],0.796 [0.792 - 0.800],0.049 [0.045 - 0.054],0.593 [0.559 - 0.626],0.093 [0.084 - 0.101]
Demographic,0.798 [0.779 - 0.816],0.730 [0.725 - 0.734],0.730 [0.694 - 0.767],0.730 [0.725 - 0.734],0.035 [0.031 - 0.038],0.460 [0.423 - 0.497],0.066 [0.060 - 0.073]
Protein+Demographic,0.885 [0.869 - 0.899],0.794 [0.790 - 0.798],0.795 [0.761 - 0.829],0.794 [0.790 - 0.798],0.049 [0.044 - 0.054],0.588 [0.554 - 0.622],0.092 [0.084 - 0.101]
