,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.580 [0.546 - 0.613],0.564 [0.560 - 0.568],0.565 [0.506 - 0.622],0.564 [0.560 - 0.568],0.008 [0.007 - 0.009],0.129 [0.071 - 0.187],0.015 [0.013 - 0.018]
Demographic,0.482 [0.449 - 0.514],0.482 [0.478 - 0.487],0.482 [0.426 - 0.538],0.482 [0.478 - 0.487],0.006 [0.005 - 0.007],-0.036 [-0.092 - 0.021],0.011 [0.009 - 0.013]
Protein+Demographic,0.570 [0.537 - 0.601],0.549 [0.544 - 0.553],0.551 [0.491 - 0.603],0.549 [0.544 - 0.553],0.007 [0.006 - 0.009],0.100 [0.039 - 0.153],0.015 [0.012 - 0.017]
