,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.774 [0.761 - 0.787],0.697 [0.693 - 0.701],0.699 [0.673 - 0.725],0.697 [0.693 - 0.701],0.052 [0.049 - 0.056],0.396 [0.370 - 0.421],0.097 [0.091 - 0.103]
Demographic,0.719 [0.705 - 0.731],0.663 [0.659 - 0.667],0.664 [0.637 - 0.689],0.663 [0.659 - 0.667],0.045 [0.042 - 0.048],0.327 [0.299 - 0.353],0.084 [0.079 - 0.090]
Protein+Demographic,0.794 [0.781 - 0.806],0.708 [0.705 - 0.712],0.708 [0.685 - 0.733],0.708 [0.705 - 0.712],0.055 [0.051 - 0.058],0.417 [0.391 - 0.443],0.102 [0.096 - 0.108]
