,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.801 [0.789 - 0.812],0.731 [0.725 - 0.737],0.731 [0.708 - 0.754],0.731 [0.724 - 0.737],0.171 [0.162 - 0.181],0.462 [0.438 - 0.486],0.277 [0.264 - 0.291]
Demographic,0.687 [0.676 - 0.700],0.643 [0.636 - 0.649],0.642 [0.619 - 0.667],0.643 [0.636 - 0.649],0.120 [0.113 - 0.128],0.285 [0.262 - 0.311],0.203 [0.191 - 0.214]
Protein+Demographic,0.819 [0.808 - 0.829],0.742 [0.736 - 0.748],0.742 [0.719 - 0.765],0.742 [0.736 - 0.748],0.180 [0.170 - 0.189],0.484 [0.461 - 0.508],0.289 [0.275 - 0.302]
