,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.838 [0.824 - 0.853],0.758 [0.755 - 0.762],0.758 [0.730 - 0.788],0.758 [0.755 - 0.762],0.050 [0.046 - 0.053],0.517 [0.488 - 0.546],0.093 [0.087 - 0.100]
Demographic,0.783 [0.767 - 0.799],0.710 [0.706 - 0.714],0.710 [0.681 - 0.738],0.710 [0.706 - 0.714],0.039 [0.036 - 0.042],0.420 [0.390 - 0.449],0.074 [0.069 - 0.080]
Protein+Demographic,0.842 [0.828 - 0.856],0.766 [0.762 - 0.770],0.767 [0.738 - 0.795],0.766 [0.762 - 0.770],0.052 [0.048 - 0.056],0.533 [0.504 - 0.560],0.097 [0.090 - 0.104]
