,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.622 [0.591 - 0.648],0.588 [0.583 - 0.592],0.588 [0.530 - 0.640],0.588 [0.583 - 0.592],0.009 [0.007 - 0.010],0.176 [0.118 - 0.229],0.017 [0.015 - 0.020]
Demographic,0.585 [0.551 - 0.615],0.577 [0.573 - 0.582],0.578 [0.522 - 0.634],0.577 [0.573 - 0.582],0.008 [0.007 - 0.010],0.155 [0.100 - 0.212],0.016 [0.014 - 0.019]
Protein+Demographic,0.616 [0.584 - 0.643],0.583 [0.578 - 0.587],0.586 [0.530 - 0.638],0.583 [0.578 - 0.587],0.008 [0.007 - 0.010],0.169 [0.114 - 0.222],0.017 [0.014 - 0.019]
