,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.871 [0.859 - 0.883],0.789 [0.785 - 0.792],0.787 [0.757 - 0.818],0.789 [0.785 - 0.792],0.050 [0.046 - 0.054],0.576 [0.546 - 0.606],0.094 [0.087 - 0.102]
Demographic,0.822 [0.809 - 0.834],0.751 [0.747 - 0.754],0.750 [0.717 - 0.779],0.751 [0.747 - 0.754],0.041 [0.038 - 0.044],0.501 [0.467 - 0.530],0.078 [0.071 - 0.084]
Protein+Demographic,0.886 [0.875 - 0.897],0.802 [0.798 - 0.805],0.801 [0.771 - 0.830],0.802 [0.798 - 0.805],0.054 [0.050 - 0.059],0.603 [0.573 - 0.632],0.102 [0.094 - 0.109]
