,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.794 [0.777 - 0.810],0.712 [0.708 - 0.716],0.712 [0.680 - 0.743],0.712 [0.708 - 0.717],0.038 [0.035 - 0.041],0.425 [0.391 - 0.455],0.073 [0.067 - 0.078]
Demographic,0.709 [0.690 - 0.725],0.663 [0.658 - 0.667],0.662 [0.625 - 0.694],0.663 [0.658 - 0.666],0.031 [0.028 - 0.033],0.324 [0.289 - 0.356],0.059 [0.054 - 0.064]
Protein+Demographic,0.804 [0.787 - 0.820],0.718 [0.714 - 0.722],0.719 [0.686 - 0.750],0.718 [0.714 - 0.723],0.040 [0.036 - 0.042],0.437 [0.403 - 0.468],0.075 [0.069 - 0.080]
