,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.683 [0.663 - 0.703],0.630 [0.625 - 0.635],0.633 [0.594 - 0.668],0.630 [0.625 - 0.635],0.031 [0.028 - 0.034],0.263 [0.224 - 0.298],0.060 [0.054 - 0.065]
Demographic,0.664 [0.643 - 0.686],0.626 [0.621 - 0.631],0.627 [0.589 - 0.663],0.626 [0.621 - 0.631],0.031 [0.028 - 0.034],0.252 [0.215 - 0.292],0.059 [0.053 - 0.064]
Protein+Demographic,0.694 [0.673 - 0.714],0.646 [0.641 - 0.651],0.645 [0.609 - 0.681],0.646 [0.641 - 0.651],0.033 [0.030 - 0.036],0.291 [0.253 - 0.329],0.063 [0.058 - 0.069]
