,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.613 [0.556 - 0.666],0.569 [0.565 - 0.573],0.570 [0.477 - 0.657],0.569 [0.565 - 0.573],0.003 [0.002 - 0.004],0.139 [0.045 - 0.224],0.006 [0.005 - 0.008]
Demographic,0.620 [0.565 - 0.667],0.592 [0.588 - 0.596],0.596 [0.500 - 0.682],0.592 [0.588 - 0.596],0.003 [0.003 - 0.004],0.189 [0.092 - 0.275],0.007 [0.005 - 0.008]
Protein+Demographic,0.621 [0.567 - 0.674],0.594 [0.590 - 0.598],0.594 [0.500 - 0.683],0.594 [0.590 - 0.598],0.003 [0.003 - 0.004],0.188 [0.096 - 0.278],0.007 [0.005 - 0.008]
