,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.753 [0.717 - 0.788],0.695 [0.689 - 0.701],0.695 [0.637 - 0.752],0.695 [0.690 - 0.701],0.022 [0.019 - 0.025],0.390 [0.332 - 0.447],0.042 [0.036 - 0.048]
Demographic,0.714 [0.679 - 0.745],0.661 [0.655 - 0.667],0.663 [0.602 - 0.718],0.661 [0.655 - 0.667],0.019 [0.016 - 0.021],0.323 [0.264 - 0.379],0.036 [0.031 - 0.042]
Protein+Demographic,0.760 [0.727 - 0.794],0.711 [0.706 - 0.717],0.707 [0.646 - 0.765],0.712 [0.706 - 0.717],0.023 [0.020 - 0.026],0.418 [0.355 - 0.475],0.045 [0.039 - 0.051]
