,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.540 [0.495 - 0.586],0.526 [0.521 - 0.531],0.532 [0.453 - 0.612],0.526 [0.521 - 0.531],0.004 [0.003 - 0.005],0.057 [-0.020 - 0.139],0.008 [0.006 - 0.010]
Demographic,0.592 [0.543 - 0.639],0.568 [0.564 - 0.573],0.566 [0.489 - 0.645],0.568 [0.563 - 0.573],0.005 [0.004 - 0.006],0.134 [0.057 - 0.214],0.009 [0.008 - 0.011]
Protein+Demographic,0.557 [0.512 - 0.603],0.562 [0.557 - 0.566],0.563 [0.488 - 0.639],0.562 [0.557 - 0.566],0.005 [0.004 - 0.006],0.124 [0.050 - 0.199],0.009 [0.008 - 0.011]
