Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
STAB2,Stabilin-2,Chapter XI Diseases of the digestive system,Crohn's disease NAS,Inverse variance weighted,32,0.98 [0.86-1.11],0.720344699925237
STAB2,Stabilin-2,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,32,1.02 [0.99-1.05],0.317809685420378
STAB2,Stabilin-2,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,32,1.01 [0.98-1.04],0.472193996823607
STAB2,Stabilin-2,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,32,0.95 [0.91-0.99],0.012427331008192
STAB2,Stabilin-2,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,32,1.01 [0.98-1.04],0.681198233509043
STAB2,Stabilin-2,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,32,1.00 [0.98-1.02],0.905039188298358
STAB2,Stabilin-2,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, require KELA, min 2 HDR)",Inverse variance weighted,32,1.12 [0.97-1.28],0.11325250315105
STAB2,Stabilin-2,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,Inverse variance weighted,32,1.02 [0.98-1.06],0.389634435742918
STAB2,Stabilin-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,Inverse variance weighted,32,1.01 [0.97-1.04],0.667422107238331
STAB2,Stabilin-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,Inverse variance weighted,32,0.99 [0.94-1.05],0.749618836113578
STAB2,Stabilin-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,Inverse variance weighted,32,0.92 [0.84-1.00],0.0543207001860456
STAB2,Stabilin-2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",Inverse variance weighted,32,0.94 [0.88-1.01],0.0977986550212761
