Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
LPL,Lipoprotein lipase,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,25,0.95 [0.82-1.09],0.430119264009273
LPL,Lipoprotein lipase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,25,0.94 [0.82-1.07],0.342019561024965
LPL,Lipoprotein lipase,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,25,0.96 [0.87-1.06],0.429695266738792
LPL,Lipoprotein lipase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,25,0.97 [0.92-1.02],0.246404622406274
LPL,Lipoprotein lipase,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,25,0.96 [0.91-1.02],0.183784218644124
LPL,Lipoprotein lipase,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,25,0.93 [0.71-1.22],0.611799676616957
LPL,Lipoprotein lipase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,25,0.90 [0.83-0.98],0.0143684753108063
LPL,Lipoprotein lipase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,25,0.95 [0.88-1.03],0.196277062567738
LPL,Lipoprotein lipase,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,25,1.06 [0.95-1.19],0.287381002211296
LPL,Lipoprotein lipase,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,25,1.03 [0.94-1.14],0.545957409324531
LPL,Lipoprotein lipase,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,25,0.99 [0.92-1.06],0.706305002764338
LPL,Lipoprotein lipase,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,25,1.04 [0.85-1.26],0.726629675196075
