Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
APOL1,Apolipoprotein L1,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,49,0.96 [0.93-1.00],0.0377918918392341
APOL1,Apolipoprotein L1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,49,0.96 [0.93-0.99],0.0049745039305645
APOL1,Apolipoprotein L1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,49,0.98 [0.96-1.00],0.0712813733696181
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,49,0.98 [0.94-1.01],0.223367429571254
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,49,1.06 [1.03-1.09],0.0004798597823154
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,Inverse variance weighted,49,1.04 [1.00-1.07],0.0258414771592078
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,49,1.06 [1.03-1.09],0.0004309201428726
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,49,1.02 [0.99-1.05],0.149924058613997
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,49,1.04 [1.01-1.07],0.0106061732834863
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,49,1.00 [0.97-1.03],0.994611043738773
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",Inverse variance weighted,49,1.05 [1.01-1.09],0.0183677484076815
APOL1,Apolipoprotein L1,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,Inverse variance weighted,49,1.04 [0.99-1.09],0.120365038337367
