Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
NENF,Neudesin,Chapter XI Diseases of the digestive system,Coeliac disease,Wald ratio,1,1.05 [0.46-2.39],0.899586655808988
NENF,Neudesin,Chapter XI Diseases of the digestive system,Intestinal malabsorption,Wald ratio,1,0.96 [0.24-3.91],0.958784974314365
