Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,49,1.03 [1.00-1.06],0.0192467262939064
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,49,1.03 [1.01-1.05],0.0025762215878156
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,49,1.01 [0.99-1.02],0.379738664259873
