Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",Inverse variance weighted,24,0.94 [0.88-1.00],0.0623268237349317
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,Inverse variance weighted,24,0.98 [0.91-1.06],0.667332094491278
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter V Mental and behavioural disorders,Alcohol dependence,Inverse variance weighted,24,0.90 [0.83-0.97],0.0067207084948622
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,Inverse variance weighted,24,1.02 [0.98-1.05],0.332005896992382
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter VI Diseases of the nervous system,Epilepsy,Inverse variance weighted,24,0.99 [0.93-1.05],0.678325403207552
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter XI Diseases of the digestive system,Other diseases of liver,Inverse variance weighted,24,1.07 [0.92-1.25],0.366434219389871
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter XI Diseases of the digestive system,Diseases of liver,Inverse variance weighted,24,0.97 [0.87-1.09],0.662562353225154
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",Inverse variance weighted,24,0.99 [0.89-1.11],0.920337786535325
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter V Mental and behavioural disorders,Any mental disorder,Inverse variance weighted,24,0.99 [0.97-1.02],0.550685633674193
CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",Inverse variance weighted,24,0.96 [0.91-1.02],0.172153890302614
