Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
NXPH3,Neurexophilin-3,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,19,0.99 [0.94-1.03],0.52919006853468
NXPH3,Neurexophilin-3,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,19,1.03 [0.94-1.14],0.505335641507573
NXPH3,Neurexophilin-3,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,19,1.05 [0.99-1.13],0.110758133696291
NXPH3,Neurexophilin-3,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,19,1.01 [0.97-1.06],0.526836145386828
NXPH3,Neurexophilin-3,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,19,1.09 [0.90-1.33],0.380454014443634
NXPH3,Neurexophilin-3,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,19,1.00 [0.96-1.03],0.897868258659063
NXPH3,Neurexophilin-3,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,19,1.00 [0.96-1.03],0.814502810051357
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,19,1.01 [0.93-1.10],0.791715187958713
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,19,1.03 [0.94-1.13],0.553690197903493
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,Inverse variance weighted,19,0.91 [0.81-1.03],0.152215961314457
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,19,1.02 [0.98-1.05],0.316573604130406
NXPH3,Neurexophilin-3,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,19,1.02 [0.88-1.19],0.767246563733776
