Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
ITGB5,Integrin beta-5,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,Inverse variance weighted,11,0.74 [0.51-1.06],0.09963770474466
ITGB5,Integrin beta-5,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,11,1.08 [0.97-1.21],0.179926243697329
