Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
TFRC,Transferrin receptor protein 1,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,48,0.99 [0.95-1.03],0.499229970690862
TFRC,Transferrin receptor protein 1,Chapter X Diseases of the respiratory system,Early onset COPD,Inverse variance weighted,48,0.99 [0.91-1.06],0.700791421428873
TFRC,Transferrin receptor protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,48,1.03 [0.98-1.09],0.277732918109324
TFRC,Transferrin receptor protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,48,1.01 [0.94-1.09],0.808605908707521
TFRC,Transferrin receptor protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,48,1.01 [0.96-1.06],0.753050911419901
TFRC,Transferrin receptor protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,48,0.99 [0.95-1.04],0.67150116956273
TFRC,Transferrin receptor protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,48,0.99 [0.95-1.03],0.527748421013561
TFRC,Transferrin receptor protein 1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,48,1.03 [0.99-1.08],0.149427560835887
TFRC,Transferrin receptor protein 1,Chapter IX Diseases of the circulatory system,Angina pectoris,Inverse variance weighted,48,1.00 [0.96-1.04],0.979906834251504
TFRC,Transferrin receptor protein 1,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,48,1.01 [0.97-1.05],0.700979593247155
TFRC,Transferrin receptor protein 1,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,48,1.03 [0.99-1.07],0.123783156075957
TFRC,Transferrin receptor protein 1,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,48,1.00 [0.97-1.03],0.831954888650547
TFRC,Transferrin receptor protein 1,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,48,1.00 [0.98-1.03],0.909799578114075
TFRC,Transferrin receptor protein 1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,48,0.91 [0.76-1.08],0.258631345550148
