Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,"Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced",Inverse variance weighted,24,0.79 [0.38-1.63],0.517510808868951
LIPF,Gastric triacylglycerol lipase,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,Inverse variance weighted,24,1.00 [0.95-1.06],0.883078351679663
LIPF,Gastric triacylglycerol lipase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,24,1.00 [0.95-1.06],0.941855818022511
LIPF,Gastric triacylglycerol lipase,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,24,1.00 [0.95-1.05],0.91521202690343
LIPF,Gastric triacylglycerol lipase,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,24,1.04 [0.98-1.10],0.161437717875654
LIPF,Gastric triacylglycerol lipase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,24,0.97 [0.93-1.01],0.144623804786477
LIPF,Gastric triacylglycerol lipase,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,24,0.97 [0.93-1.02],0.255498385457489
LIPF,Gastric triacylglycerol lipase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,24,1.03 [0.98-1.07],0.289263455789445
LIPF,Gastric triacylglycerol lipase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,24,1.07 [1.00-1.16],0.0643369344741027
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,Inverse variance weighted,24,0.94 [0.87-1.01],0.0779012904253848
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Duodenal ulcer,Inverse variance weighted,24,0.98 [0.86-1.11],0.718266197715397
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Functional dyspepsia,Inverse variance weighted,24,1.06 [0.98-1.15],0.1377296017256
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,Inverse variance weighted,24,1.02 [0.94-1.11],0.638098907359687
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Gastric ulcer,Inverse variance weighted,24,1.08 [0.97-1.19],0.155371889755915
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Hernia,Inverse variance weighted,24,0.96 [0.92-1.00],0.0626255448517262
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Other diseases of intestines,Inverse variance weighted,24,1.00 [0.97-1.03],0.944167901909448
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Oesophagitis,Inverse variance weighted,24,0.84 [0.69-1.02],0.0804972715468515
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Oesophageal obstruction,Inverse variance weighted,24,0.88 [0.65-1.19],0.406371137651201
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",Inverse variance weighted,24,1.02 [0.99-1.06],0.242510054613778
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Ulcer of oesophagus,Inverse variance weighted,24,1.09 [0.92-1.29],0.318767776652465
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,Inverse variance weighted,24,0.99 [0.82-1.20],0.9397110141596
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),Inverse variance weighted,24,0.96 [0.88-1.05],0.371481014706236
LIPF,Gastric triacylglycerol lipase,Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,Inverse variance weighted,24,1.03 [0.98-1.08],0.236904375878901
