Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
VWF,von Willebrand factor,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,8,0.94 [0.85-1.05],0.296054369930407
VWF,von Willebrand factor,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,Inverse variance weighted,8,0.98 [0.88-1.08],0.646564337341544
VWF,von Willebrand factor,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,Inverse variance weighted,8,0.98 [0.89-1.07],0.614729060904498
VWF,von Willebrand factor,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",Inverse variance weighted,8,1.01 [0.93-1.10],0.799824836848502
VWF,von Willebrand factor,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,8,1.00 [0.89-1.13],0.952386284314529
VWF,von Willebrand factor,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,8,0.98 [0.90-1.08],0.729808499628005
VWF,von Willebrand factor,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,8,0.97 [0.91-1.04],0.433920165614996
VWF,von Willebrand factor,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,8,0.95 [0.89-1.02],0.146861637248294
VWF,von Willebrand factor,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,8,0.92 [0.75-1.14],0.439339451897849
VWF,von Willebrand factor,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,8,1.12 [0.92-1.37],0.250120540225001
VWF,von Willebrand factor,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,8,0.97 [0.89-1.05],0.443870728088384
VWF,von Willebrand factor,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,8,0.86 [0.64-1.15],0.309014025352637
