Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
ATOX1,Copper transport protein ATOX1,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,2,0.99 [0.90-1.09],0.847884866412904
ATOX1,Copper transport protein ATOX1,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,2,0.99 [0.90-1.08],0.757850479921656
ATOX1,Copper transport protein ATOX1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,2,1.03 [0.94-1.13],0.487282222886031
