Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,"Bronchitis, not specified as acute or chronic",GDF15,Growth/differentiation factor 15,44612,118,1.99 [1.58-2.50],5.039090627028174e-09
Chapter X Diseases of the respiratory system,"Bronchitis, not specified as acute or chronic",MDK,Midkine,44082,117,1.76 [1.44-2.15],3.7106215885679044e-08
Chapter X Diseases of the respiratory system,"Bronchitis, not specified as acute or chronic",WFDC2,WAP four-disulfide core domain protein 2,41857,113,2.51 [1.84-3.41],4.631434867388507e-09
