Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,AREG,Amphiregulin,16478,87,2.06 [1.37-3.10],0.0004783501207269
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,CD27,CD27 antigen,16613,89,2.16 [1.47-3.17],8.695270214798539e-05
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,CD300C,CMRF35-like molecule 6,16736,90,2.72 [1.68-4.41],4.647488279926329e-05
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,CDH3,Cadherin-3,16736,90,2.61 [1.64-4.17],5.719462863825289e-05
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,14372,79,0.64 [0.49-0.83],0.0008645240873077
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,CHGA,Chromogranin-A,14410,78,1.43 [1.16-1.76],0.0007490909783772
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,CKB,Creatine kinase B-type,14410,78,2.04 [1.43-2.93],9.74211919894165e-05
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,CLEC7A,C-type lectin domain family 7 member A,16765,91,2.12 [1.40-3.20],0.0003508071865662
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,DDR1,Epithelial discoidin domain-containing receptor 1,16736,90,3.29 [1.66-6.51],0.0006460019008238
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,DLL1,Delta-like protein 1,16613,89,2.75 [1.54-4.91],0.0006462187449413
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,DSC2,Desmocollin-2,16380,89,2.82 [1.76-4.52],1.6428557040476753e-05
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,EFNA1,Ephrin-A1,16545,90,2.63 [1.49-4.66],0.0009020183880556
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,EPHB4,Ephrin type-B receptor 4,16786,88,3.34 [1.74-6.41],0.0002896835927825
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,EPHX2,Bifunctional epoxide hydrolase 2,16284,85,1.52 [1.22-1.90],0.0001935009254848
Chapter XI Diseases of the digestive system,Intestinal adhesions without obstruction,FGF23,Fibroblast growth factor 23,16687,90,1.62 [1.23-2.13],0.0005564811870358
