Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",Chapter XI Diseases of the digestive system,Diseases of the digestive system,19839,1305,1.24 [1.11-1.38],8.571639484908833e-05
INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",Chapter XI Diseases of the digestive system,GI-bleeding,19606,1072,1.25 [1.11-1.40],0.0001527868711658
INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",Chapter XI Diseases of the digestive system,Other diseases of the digestive system,19618,1084,1.25 [1.11-1.40],0.0001784182242612
