Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
TRIM21,E3 ubiquitin-protein ligase TRIM21,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,27913,152,0.43 [0.38-0.48],8.433567786578715e-46
TRIM21,E3 ubiquitin-protein ligase TRIM21,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other systemic involvement of connective tissue,27801,40,0.36 [0.29-0.44],1.6110929068853984e-23
TRIM21,E3 ubiquitin-protein ligase TRIM21,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,23945,4448,0.88 [0.84-0.91],1.3667577767388932e-11
