Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Physical activities,X22039.MET minutes per week for vigorous activity,ICAM1,Intercellular adhesion molecule 1,45742,-0.387689558441008,0.0413193571211908,-0.468675498398542,-0.306703618483474,7.05195032329575e-21
Physical activities,X22039.MET minutes per week for vigorous activity,WFDC2,WAP four-disulfide core domain protein 2,44762,-0.316614521906889,0.0339466247093386,-0.383149906337193,-0.250079137476586,1.19953162756441e-20
Physical activities,X22039.MET minutes per week for vigorous activity,RGMA,Repulsive guidance molecule A,46050,0.350493282152655,0.0376455905600614,0.276707924654935,0.424278639650376,1.3924679921101e-20
Physical activities,X22039.MET minutes per week for vigorous activity,PTGDS,Prostaglandin-H2 D-isomerase,45668,-0.387499023680831,0.0418639947398981,-0.469552453371031,-0.30544559399063,2.31515430648264e-20
Physical activities,X22039.MET minutes per week for vigorous activity,LGALS9,Galectin-9,45854,-0.335640508602062,0.0363240096111466,-0.406835567439909,-0.264445449764214,2.68419254847095e-20
Physical activities,X22039.MET minutes per week for vigorous activity,COMP,Cartilage oligomeric matrix protein,45606,0.323040267490396,0.0349747244191569,0.254489807628849,0.391590727351944,2.78341873408572e-20
Physical activities,X22039.MET minutes per week for vigorous activity,CPM,Carboxypeptidase M,45939,-0.31340074824705,0.0340029313991074,-0.3800464937893,-0.246755002704799,3.33260610199155e-20
Physical activities,X22039.MET minutes per week for vigorous activity,ADM,Pro-adrenomedullin,46044,-0.396994205090595,0.0431660516923709,-0.481599666407642,-0.312388743773548,4.00907496947191e-20
Physical activities,X22039.MET minutes per week for vigorous activity,IL18BP,Interleukin-18-binding protein,45918,-0.357232717706487,0.0388741586826486,-0.433426068724478,-0.281039366688495,4.29736046463444e-20
Physical activities,X22039.MET minutes per week for vigorous activity,GDF15,Growth/differentiation factor 15,46116,-0.26551473072329,0.0290510640685799,-0.322454816297706,-0.208574645148873,6.80643246887902e-20
