Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Cognitive function,X4290.Duration screen displayed,TFF1,Trefoil factor 1,33657,0.0618750198485605,0.00958250677441303,0.0430933065707109,0.08065673312641,1.12137083388465e-10
Cognitive function,X4290.Duration screen displayed,GDF15,Growth/differentiation factor 15,33795,0.0271114819077947,0.00533736591236958,0.0166502447195503,0.0375727190960391,3.85616141808859e-07
Cognitive function,X4290.Duration screen displayed,MZB1,Marginal zone B- and B1-cell-specific protein,33729,0.030077234481407,0.00636104364279708,0.0176095889415247,0.0425448800212893,2.29689255652886e-06
Cognitive function,X4290.Duration screen displayed,FCGR2A,Low affinity immunoglobulin gamma Fc region receptor II-a,33609,0.0345903781464816,0.00749681875947544,0.0198966133779097,0.0492841429150535,4.00344854231516e-06
Cognitive function,X4290.Duration screen displayed,PDCD1,Programmed cell death protein 1,33762,0.0237633293268686,0.00540964118283973,0.0131604326085027,0.0343662260452344,1.13151621730455e-05
Cognitive function,X4290.Duration screen displayed,REG3A,Regenerating islet-derived protein 3-alpha,33795,0.0334345008480908,0.00765667040261374,0.0184274268589678,0.0484415748372137,1.27487819378093e-05
Cognitive function,X4290.Duration screen displayed,CA14,Carbonic anhydrase 14,33775,-0.0188531826337613,0.0043294933922321,-0.0273389896825363,-0.0103673755849864,1.34738428923409e-05
Cognitive function,X4290.Duration screen displayed,CCL21,C-C motif chemokine 21,33743,0.0231196344240578,0.00537457116320862,0.0125854749441689,0.0336537939039467,1.71249287397943e-05
Cognitive function,X4290.Duration screen displayed,DEFB4A_DEFB4B,Beta-defensin 4A,33564,0.0794543815487761,0.0185453513726417,0.0431054928583984,0.115803270239154,1.85174371928182e-05
Cognitive function,X4290.Duration screen displayed,VEGFD,Vascular endothelial growth factor D,33777,-0.0182323493322963,0.00429058396794468,-0.0266418939094678,-0.00982280475512469,2.16441743834698e-05
