Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,SORT1,Sortilin,34210,-0.0352168836059476,0.0136915184472617,-0.0620522597625805,-0.00838150744931464,0.0101210440837328
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,PFDN2,Prefoldin subunit 2,33997,-0.0556236432939763,0.0217745878008055,-0.0983018353835552,-0.0129454512043975,0.0106487833957745
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,NCLN,Nicalin,34004,-0.0564131162297184,0.0222205864551644,-0.0999654656818405,-0.0128607667775963,0.0111398002047527
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,NFAT5,Nuclear factor of activated T-cells 5,32529,-0.0846679541178673,0.0336471535916818,-0.150616375157564,-0.0187195330781709,0.0118770183599232
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,DMD,Dystrophin,32559,-0.0485635717339632,0.0193275352491819,-0.0864455408223598,-0.0106816026455667,0.0120016441924273
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,DYNLT3,Dynein light chain Tctex-type 3,32729,-0.0407725316814781,0.0162455296399799,-0.0726137697758387,-0.0089312935871176,0.0120999392877382
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,SPRR1B,Cornifin-B,32623,-0.0818566067991174,0.0326813987655116,-0.14591214837952,-0.0178010652187147,0.0122753700227729
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,KCNH2,Potassium voltage-gated channel subfamily H member 2,32537,0.0724589495975771,0.0289510527886127,0.0157148861318962,0.129203013063258,0.0123407845056749
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,AKAP12,A-kinase anchor protein 12,32603,0.0205892873081516,0.00836869308187303,0.00418664886768048,0.0369919257486228,0.0139036498064586
Lifestyle factors,X29168#5.Sports and social activities attended virtually at least once a week_Other group activity,CSNK1D,Casein kinase I isoform delta,32529,-0.0602486408947217,0.0247727072794238,-0.108803147162392,-0.011694134627051,0.0150349187279535
