Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,CDH1,Cadherin-1,33918,-0.281114981854314,0.0888056319364438,-0.455174020449744,-0.107055943258884,0.00155302919075549
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,CNTN4,Contactin-4,34246,-0.407748078616581,0.1301424218048,-0.662827225353989,-0.152668931879174,0.00173485948336542
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PTPRF,Receptor-type tyrosine-protein phosphatase F,34372,-0.334469624108226,0.108075750218085,-0.546298094535672,-0.122641153680781,0.00197513650921453
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NTRK3,NT-3 growth factor receptor,34345,-0.443585162555372,0.143919446525793,-0.725667277745926,-0.161503047364818,0.00206057901277423
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,UMOD,Uromodulin,34345,-0.179283530246992,0.0582336461220227,-0.293421476646156,-0.0651455838478272,0.00208480029175554
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NFASC,Neurofascin,34353,-0.36378940184269,0.120542781349265,-0.600053253287248,-0.127525550398131,0.00255156973686595
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,FLT1,Vascular endothelial growth factor receptor 1,34190,-0.452903930443542,0.150119734884321,-0.747138610816811,-0.158669250070273,0.00255990387646312
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NCAM1,Neural cell adhesion molecule 1,34276,-0.340166593891181,0.112964049390756,-0.561576130697062,-0.1187570570853,0.00260808793958417
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,MBL2,Mannose-binding protein C,32668,-0.104849430225783,0.0350786218708731,-0.173603529092694,-0.0360953313588719,0.00280735473986607
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,LEFTY2,Left-right determination factor 2,34317,-0.16970481581588,0.0572700895509954,-0.281954191335831,-0.0574554402959285,0.00305149614349891
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,PEAR1,Platelet endothelial aggregation receptor 1,34372,-0.401063615963529,0.13556641391358,-0.666773787234145,-0.135353444692913,0.00309941399428374
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,NCAM2,Neural cell adhesion molecule 2,34246,-0.34417192013833,0.116376776741036,-0.57227040255076,-0.1160734377259,0.00310992846970034
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,FCRL2,Fc receptor-like protein 2,34297,-0.204626218560736,0.0693215909643741,-0.340496536850909,-0.0687559002705629,0.00316632298194917
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,OMD,Osteomodulin,34290,-0.202633274148198,0.068886605059744,-0.337651020065296,-0.0676155282310998,0.00327337301964816
Mental health,X29081.Stopped from seeing friends or family by partner or ex-partner as an adult,EGFR,Epidermal growth factor receptor,34372,-0.558647352825543,0.190988422849348,-0.932984661610264,-0.184310044040822,0.00345200372245956
