Unnamed: 0,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007250,GO:0007250,activation of NF-kappaB-inducing kinase activity,2/18,18/18800,0.000131273514444,0.0415932859161572,0.0265053552756228,CHI3L1/TNFRSF10A,2
GO:0007173,GO:0007173,epidermal growth factor receptor signaling pathway,3/18,108/18800,0.0001412849047551,0.0415932859161572,0.0265053552756228,AREG/PIGR/PLAUR,3
GO:0038127,GO:0038127,ERBB signaling pathway,3/18,121/18800,0.0001977493783652,0.0415932859161572,0.0265053552756228,AREG/PIGR/PLAUR,3
