Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACE2,Angiotensin-converting enzyme 2,22617,3203,1.21 [1.14-1.28],3.157160124550793e-10
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACHE,Acetylcholinesterase,19682,2767,0.69 [0.62-0.78],1.433184097595371e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,23105,3263,0.82 [0.76-0.87],5.797048000442046e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRG2,Adhesion G-protein coupled receptor G2,23028,3258,0.72 [0.64-0.81],4.010217170109314e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADM,Pro-adrenomedullin,23218,3267,1.55 [1.38-1.75],7.104726077763006e-13
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGR2,Anterior gradient protein 2 homolog,22263,3138,1.12 [1.08-1.15],3.963037257515405e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGRN,Agrin,23126,3275,1.29 [1.17-1.41],7.844348781151078e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AMBP,Protein AMBP,23187,3264,1.91 [1.64-2.24],2.6897288410500337e-16
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AOC3,Membrane primary amine oxidase,23109,3277,0.76 [0.69-0.84],9.881365077325598e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AREG,Amphiregulin,22911,3224,1.24 [1.16-1.32],1.986035913030632e-11
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ASGR1,Asialoglycoprotein receptor 1,22861,3225,1.67 [1.51-1.85],4.216463527776932e-23
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CBLN4,Cerebellin-4,23218,3267,0.76 [0.69-0.84],9.372727794802457e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL16,C-C motif chemokine 16,23320,3299,1.19 [1.12-1.26],2.3856254276866285e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CCL23,C-C motif chemokine 23,23126,3275,1.24 [1.15-1.33],1.9628865617060428e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD27,CD27 antigen,23105,3263,1.24 [1.15-1.33],4.74990299584023e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CD302,CD302 antigen,22911,3224,1.41 [1.27-1.56],5.227334908446789e-11
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CHAD,Chondroadherin,19682,2767,0.82 [0.77-0.88],6.136115657614537e-09
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",20074,2803,1.28 [1.17-1.40],5.620036184012316e-08
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,CHGA,Chromogranin-A,20110,2819,1.18 [1.14-1.23],2.691904721164284e-20
