Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,A1BG,Alpha-1B-glycoprotein,44767,238,0.86 [0.42-1.75],0.6801450973770689
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,AAMDC,Mth938 domain-containing protein,43510,229,1.06 [0.84-1.35],0.6247322526090677
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,AARSD1,Alanyl-tRNA editing protein Aarsd1,51184,270,1.24 [1.02-1.49],0.0268684759973774
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ABCA2,ATP-binding cassette sub-family A member 2,43234,229,1.03 [0.73-1.46],0.8518867894881433
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ABHD14B,Protein ABHD14B,50861,268,1.08 [0.90-1.30],0.4055804356359737
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ABL1,Tyrosine-protein kinase ABL1,51184,270,1.12 [0.96-1.31],0.1346551203112081
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ABO,Histo-blood group ABO system transferase,44736,241,0.99 [0.91-1.08],0.841137959371501
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ABRAXAS2,BRISC complex subunit Abraxas 2,43234,229,1.07 [0.89-1.30],0.4690352190650281
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",50209,265,1.09 [0.96-1.25],0.1778769802178679
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43884,234,0.93 [0.77-1.13],0.4696012892451601
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",44696,239,1.01 [0.88-1.16],0.9059608988637298
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACAN,Aggrecan core protein,50928,269,1.08 [0.73-1.58],0.7029929923773487
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACE,Angiotensin-converting enzyme,44736,241,1.25 [0.78-1.98],0.3518595810541016
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACE2,Angiotensin-converting enzyme 2,50477,271,1.29 [1.06-1.57],0.0111698243350669
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACHE,Acetylcholinesterase,43721,229,0.84 [0.57-1.24],0.3831622594434903
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACOT13,Acyl-coenzyme A thioesterase 13,44506,236,1.02 [0.91-1.13],0.7783661079951367
Chapter XI Diseases of the digestive system,Oral lichen ruber planus,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,51419,270,1.11 [0.90-1.37],0.3309865635834594
