Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPM,Carboxypeptidase M,46422,4457,1.14 [1.06-1.23],0.0006209910675445
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",39057,3704,0.97 [0.86-1.08],0.5640135281123412
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPPED1,Serine/threonine-protein phosphatase CPPED1,46644,4483,0.99 [0.95-1.03],0.7357020653631217
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPQ,Carboxypeptidase Q,40136,3806,1.12 [1.02-1.22],0.0120040693802716
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPTP,Ceramide-1-phosphate transfer protein,38913,3688,1.00 [0.92-1.08],0.9233012184081976
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPVL,Probable serine carboxypeptidase CPVL,46570,4472,1.09 [1.02-1.16],0.011751174142163
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPXM1,Probable carboxypeptidase X1,46391,4474,1.02 [0.98-1.06],0.3710355691667051
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CPXM2,Inactive carboxypeptidase-like protein X2,40202,3820,1.08 [0.96-1.22],0.1870670157183503
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CR1,Complement receptor type 1,40088,3805,0.96 [0.88-1.05],0.3568568151681038
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CR2,Complement receptor type 2,46415,4469,1.00 [0.95-1.06],0.9810435609180264
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRACR2A,EF-hand calcium-binding domain-containing protein 4B,45179,4338,1.04 [1.01-1.08],0.0067207213482543
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CRADD,Death domain-containing protein CRADD,45814,4386,1.01 [0.97-1.04],0.7608640412497596
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CREB3,Cyclic AMP-responsive element-binding protein 3,38781,3663,0.98 [0.92-1.04],0.4743275278177202
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CREBZF,CREB/ATF bZIP transcription factor,38781,3663,0.93 [0.82-1.05],0.2515524145598627
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CREG1,Protein CREG1,45627,4409,1.14 [1.06-1.22],0.0002219634496647
