Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
VWA5A,von Willebrand factor A domain-containing protein 5A,"Chapter IV Endocrine, nutritional and metabolic diseases",Dementia in Alzheimer disease,22818,252,1.20 [1.07-1.36],0.0025403179986169
VWA5A,von Willebrand factor A domain-containing protein 5A,Chapter IX Diseases of the circulatory system,Cardiomyopathy,20388,118,1.29 [1.13-1.49],0.0002767575055711
VWA5A,von Willebrand factor A domain-containing protein 5A,Chapter VI Diseases of the nervous system,Alzheimer disease,23346,311,1.19 [1.07-1.33],0.0010883427262609
VWA5A,von Willebrand factor A domain-containing protein 5A,Chapter VI Diseases of the nervous system,Motor neuron disease,16089,112,0.49 [0.33-0.73],0.0004981487758097
VWA5A,von Willebrand factor A domain-containing protein 5A,Chapter VI Diseases of the nervous system,Systemic atrophies primarily affecting the central nervous system,23335,137,0.58 [0.41-0.81],0.0012994619211123
VWA5A,von Willebrand factor A domain-containing protein 5A,Chapter VI Diseases of the nervous system,Unspecific neurodegenerative disorder,23346,314,1.20 [1.08-1.33],0.0004830545622761
VWA5A,von Willebrand factor A domain-containing protein 5A,Chapter VIII Diseases of the ear and mastoid process,Other specified/unspecified hearing loss,23037,467,0.83 [0.72-0.96],0.0092031157162771
VWA5A,von Willebrand factor A domain-containing protein 5A,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",23334,171,1.22 [1.08-1.39],0.0021675724756908
