Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diseases of appendix,A1BG,Alpha-1B-glycoprotein,24488,145,1.88 [0.77-4.61],0.1658962483657301
Chapter XI Diseases of the digestive system,Diseases of appendix,AAMDC,Mth938 domain-containing protein,23774,137,1.13 [0.83-1.53],0.4363737186552027
Chapter XI Diseases of the digestive system,Diseases of appendix,AARSD1,Alanyl-tRNA editing protein Aarsd1,28012,162,0.89 [0.70-1.14],0.372557672179019
Chapter XI Diseases of the digestive system,Diseases of appendix,ABCA2,ATP-binding cassette sub-family A member 2,23673,138,1.09 [0.70-1.69],0.7052589242184595
Chapter XI Diseases of the digestive system,Diseases of appendix,ABHD14B,Protein ABHD14B,27856,158,0.95 [0.75-1.21],0.6953204867137002
Chapter XI Diseases of the digestive system,Diseases of appendix,ABL1,Tyrosine-protein kinase ABL1,28012,162,1.06 [0.87-1.29],0.572363104802723
Chapter XI Diseases of the digestive system,Diseases of appendix,ABO,Histo-blood group ABO system transferase,24475,143,1.10 [0.99-1.23],0.0801028765728265
Chapter XI Diseases of the digestive system,Diseases of appendix,ABRAXAS2,BRISC complex subunit Abraxas 2,23673,138,0.97 [0.76-1.25],0.8357415463535275
Chapter XI Diseases of the digestive system,Diseases of appendix,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",27448,159,1.12 [0.95-1.31],0.1822228484149919
Chapter XI Diseases of the digestive system,Diseases of appendix,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",24001,142,0.95 [0.75-1.21],0.7014824255808267
Chapter XI Diseases of the digestive system,Diseases of appendix,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",24453,144,1.06 [0.89-1.27],0.494751924985535
Chapter XI Diseases of the digestive system,Diseases of appendix,ACAN,Aggrecan core protein,27884,160,0.95 [0.59-1.51],0.8168681894331233
Chapter XI Diseases of the digestive system,Diseases of appendix,ACE,Angiotensin-converting enzyme,24475,143,0.70 [0.38-1.28],0.2444828720521698
Chapter XI Diseases of the digestive system,Diseases of appendix,ACE2,Angiotensin-converting enzyme 2,27634,160,0.78 [0.59-1.04],0.0882521822487587
Chapter XI Diseases of the digestive system,Diseases of appendix,ACHE,Acetylcholinesterase,23907,140,0.64 [0.40-1.03],0.0680491365727229
Chapter XI Diseases of the digestive system,Diseases of appendix,ACOT13,Acyl-coenzyme A thioesterase 13,24358,143,0.98 [0.85-1.13],0.7882082208418029
Chapter XI Diseases of the digestive system,Diseases of appendix,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,28139,161,0.92 [0.69-1.22],0.5560404617583556
Chapter XI Diseases of the digestive system,Diseases of appendix,ACP1,Low molecular weight phosphotyrosine protein phosphatase,23757,144,1.08 [0.77-1.51],0.6518109457160148
Chapter XI Diseases of the digestive system,Diseases of appendix,ACP5,Tartrate-resistant acid phosphatase type 5,28238,166,1.13 [0.76-1.66],0.5536372782938046
Chapter XI Diseases of the digestive system,Diseases of appendix,ACP6,Lysophosphatidic acid phosphatase type 6,28354,162,0.96 [0.78-1.18],0.6917536970637314
Chapter XI Diseases of the digestive system,Diseases of appendix,ACRBP,Acrosin-binding protein,24339,143,0.95 [0.62-1.44],0.7964841809488925
Chapter XI Diseases of the digestive system,Diseases of appendix,ACRV1,Acrosomal protein SP-10,23757,144,0.87 [0.74-1.03],0.1063573426503272
Chapter XI Diseases of the digestive system,Diseases of appendix,ACSL1,Long-chain-fatty-acid--CoA ligase 1,23673,138,0.76 [0.46-1.27],0.3018757032350162
Chapter XI Diseases of the digestive system,Diseases of appendix,ACTA2,"Actin, aortic smooth muscle",27634,160,0.86 [0.60-1.21],0.3832258698960434
Chapter XI Diseases of the digestive system,Diseases of appendix,ACTN2,Alpha-actinin-2,23673,138,0.93 [0.70-1.23],0.6088469974055324
Chapter XI Diseases of the digestive system,Diseases of appendix,ACTN4,Alpha-actinin-4,27613,162,1.20 [0.81-1.80],0.3640829182804814
Chapter XI Diseases of the digestive system,Diseases of appendix,ACVRL1,Serine/threonine-protein kinase receptor R3,27904,159,0.71 [0.39-1.29],0.2594834662946216
Chapter XI Diseases of the digestive system,Diseases of appendix,ACY1,Aminoacylase-1,28139,161,1.01 [0.82-1.24],0.9341393417506118
Chapter XI Diseases of the digestive system,Diseases of appendix,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,23673,138,1.26 [0.96-1.66],0.1016659722431119
Chapter XI Diseases of the digestive system,Diseases of appendix,ACYP1,Acylphosphatase-1,23818,139,0.97 [0.76-1.23],0.7851000812060193
Chapter XI Diseases of the digestive system,Diseases of appendix,ADA,Adenosine deaminase,28473,165,1.31 [0.92-1.87],0.1356062255792336
Chapter XI Diseases of the digestive system,Diseases of appendix,ADA2,Adenosine deaminase 2,27956,165,1.21 [0.87-1.69],0.2525702028363152
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,23757,144,1.09 [0.74-1.62],0.6500014783716557
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,27634,160,1.42 [0.91-2.23],0.1263247509138801
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,27953,159,1.00 [0.67-1.49],0.987325831731001
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,28473,165,1.10 [0.74-1.63],0.6532326912260418
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,28363,160,1.20 [0.74-1.96],0.4632756510547269
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,24358,143,0.94 [0.55-1.62],0.8257480541860149
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,23757,144,0.94 [0.56-1.57],0.8096225712150308
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,28485,166,0.88 [0.49-1.60],0.6772357423785591
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,28012,162,0.99 [0.72-1.35],0.9362502335229348
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,27634,160,1.30 [0.93-1.81],0.1236268432288439
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,23757,144,1.19 [0.78-1.80],0.4239531132973593
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,28208,164,1.07 [0.79-1.45],0.6475434404923401
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTSL2,ADAMTS-like protein 2,24445,144,1.18 [0.73-1.91],0.4973165066343464
Chapter XI Diseases of the digestive system,Diseases of appendix,ADAMTSL4,ADAMTS-like protein 4,23774,137,1.02 [0.52-2.00],0.9444696580585964
