Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Oesophagitis,ANXA10,Annexin A10,22315,267,1.51 [1.35-1.69],8.172758801633327e-13
Chapter XI Diseases of the digestive system,Oesophagitis,ASGR1,Asialoglycoprotein receptor 1,22717,271,3.29 [2.39-4.51],1.839653759436773e-13
Chapter XI Diseases of the digestive system,Oesophagitis,CBLIF,Cobalamin binding intrinsic factor,22806,270,2.04 [1.76-2.38],1.727366620931216e-20
Chapter XI Diseases of the digestive system,Oesophagitis,CHGA,Chromogranin-A,19850,237,2.55 [2.31-2.81],3.11010872293608e-76
Chapter XI Diseases of the digestive system,Oesophagitis,CST3,Cystatin-C,22869,273,2.94 [2.10-4.11],2.6319584023200964e-10
Chapter XI Diseases of the digestive system,Oesophagitis,FGFR2,Fibroblast growth factor receptor 2,22892,272,3.92 [2.60-5.93],8.699187085872447e-11
Chapter XI Diseases of the digestive system,Oesophagitis,GAST,Gastrin,19801,238,1.78 [1.66-1.91],1.9154563377982946e-59
Chapter XI Diseases of the digestive system,Oesophagitis,GDF15,Growth/differentiation factor 15,23134,276,1.82 [1.56-2.11],4.862028855391991e-15
Chapter XI Diseases of the digestive system,Oesophagitis,LGALS9,Galectin-9,22824,270,2.86 [2.12-3.86],6.406146592651645e-12
Chapter XI Diseases of the digestive system,Oesophagitis,LIPF,Gastric triacylglycerol lipase,19305,229,1.77 [1.48-2.11],2.417844531019592e-10
Chapter XI Diseases of the digestive system,Oesophagitis,PGA4,Pepsin A-4,19866,238,3.65 [3.08-4.31],6.038100554822193e-52
Chapter XI Diseases of the digestive system,Oesophagitis,PRSS8,Prostasin,22759,268,2.12 [1.68-2.68],2.400223480808217e-10
Chapter XI Diseases of the digestive system,Oesophagitis,RBP5,Retinol-binding protein 5,22765,267,1.76 [1.50-2.07],3.2035935253337626e-12
Chapter XI Diseases of the digestive system,Oesophagitis,TFF2,Trefoil factor 2,22904,271,1.75 [1.49-2.04],2.519644258448671e-12
Chapter XI Diseases of the digestive system,Oesophagitis,VSIG2,V-set and immunoglobulin domain-containing protein 2,19753,237,3.67 [3.12-4.32],2.4306320725987016e-55
Chapter XI Diseases of the digestive system,Oesophagitis,WFDC2,WAP four-disulfide core domain protein 2,21665,260,2.25 [1.76-2.87],7.224013196934854e-11
